Sector ,Site,lat,long,azimuth,Cluster,Region
C0130_A,C0130,24.50187,46.49843,0,Riyadh,Central
C0130_B,C0130,24.50187,46.49843,120,Riyadh,Central
C0130_C,C0130,24.50187,46.49843,240,Riyadh,Central
C0130_D,C0130,24.50187,46.49843,300,Riyadh,Central
C0184_A,C0184,24.464083,46.271581,0,AL MUZAHIMIYAH,Central
C0184_B,C0184,24.464083,46.271581,120,AL MUZAHIMIYAH,Central
C0184_C,C0184,24.464083,46.271581,240,AL MUZAHIMIYAH,Central
C0200_A,C0200,23.657917,42.573556,0,Remote_(USF-7),Central
C0200_B,C0200,23.657917,42.573556,120,Remote_(USF-7),Central
C0201_A,C0201,26.13001,46.14771,0,Remote,Central
C0201_B,C0201,26.13001,46.14771,120,Remote,Central
C0202_A,C0202,25.92487,45.89539,0,Remote,Central
C0202_B,C0202,25.92487,45.89539,120,Remote,Central
C0203_A,C0203,25.8264,45.79929,0,Remote,Central
C0203_B,C0203,25.8264,45.79929,120,Remote,Central
C0203_C,C0203,25.8264,45.79929,240,Remote,Central
C0204_A,C0204,24.901056,44.550222,0,Remote_(USF-7),Central
C0204_B,C0204,24.901056,44.550222,120,Remote_(USF-7),Central
C0204_C,C0204,24.901056,44.550222,240,Remote_(USF-7),Central
C0205_A,C0205,24.53875,43.247389,0,Remote_(USF-7),Central
C0205_B,C0205,24.53875,43.247389,120,Remote_(USF-7),Central
C0205_C,C0205,24.53875,43.247389,240,Remote_(USF-7),Central
C0206_A,C0206,24.66561,47.21606,0,Riyadh-Dammam (Rail road),Central
C0206_B,C0206,24.66561,47.21606,120,Riyadh-Dammam (Rail road),Central
C0207_A,C0207,23.982194,43.327861,0,Remote_(USF-7),Central
C0207_B,C0207,23.982194,43.327861,120,Remote_(USF-7),Central
C0207_C,C0207,23.982194,43.327861,240,Remote_(USF-7),Central
C0208_A,C0208,24.73042,47.40811,0,Remote,Central
C0208_B,C0208,24.73042,47.40811,120,Remote,Central
C0209_A,C0209,24.004917,44.942083,0,Remote_(USF-7),Central
C0209_B,C0209,24.004917,44.942083,120,Remote_(USF-7),Central
C0209_C,C0209,24.004917,44.942083,240,Remote_(USF-7),Central
C0210_A,C0210,23.98463,45.0659,0,Al-Qiwaiyah_(USF-7),Central
C0210_B,C0210,23.98463,45.0659,120,Al-Qiwaiyah_(USF-7),Central
C0210_C,C0210,23.98463,45.0659,240,Al-Qiwaiyah_(USF-7),Central
C0211_A,C0211,23.602472,42.404056,0,Remote_(USF-7),Central
C0211_B,C0211,23.602472,42.404056,120,Remote_(USF-7),Central
C0212_A,C0212,26.42746,45.56675,0,Remote,Central
C0212_B,C0212,26.42746,45.56675,120,Remote,Central
C0213_A,C0213,25.079028,44.610778,0,AL BURUD,Central
C0213_B,C0213,25.079028,44.610778,120,AL BURUD,Central
